CASE_ID,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_AGE,VICTIM_SEX,severity_1_4
5910224,8,2,998,M,3
5910233,1,1,23,M,4
5910236,1,2,66,F,4
5910236,2,1,60,F,1
5910236,3,2,18,M,3
5910276,1,2,11,F,1
5910276,1,3,49,M,4
5910276,2,2,11,F,1
5910330,1,1,19,F,4
5910368,1,1,40,F,2
5910368,1,1,36,M,4
5910368,2,2,6,M,2
5910368,2,2,24,F,3
5910393,1,1,59,F,4
5910455,1,1,21,F,4
5910484,1,1,42,M,1
5910484,1,1,60,M,4
5910486,1,1,22,M,2
5910486,1,1,30,F,4
5910486,2,2,22,F,1
5910499,1,1,20,M,3
5910499,1,1,51,M,4
5910522,1,1,30,M,4
5910542,1,4,18,M,4
5910557,1,1,30,M,4
5910557,2,2,28,F,2
5910599,1,1,21,M,4
5910599,2,2,23,M,3
5910635,1,1,36,M,4
5910643,1,2,81,F,4
5910643,2,1,80,M,2
5910644,1,2,14,F,4
5910644,2,2,44,F,3
5910644,3,1,55,M,2
5910653,1,1,56,M,4
5910667,1,3,49,M,4
5910671,1,3,66,M,4
5910674,1,2,33,M,2
5910674,2,2,43,F,2
5910674,3,2,10,M,2
5910674,4,1,46,M,2
5910674,5,2,12,M,4
5910675,1,1,20,M,3
5910675,1,2,25,F,4
5910675,2,2,19,M,2
5910675,2,2,9,F,2
5910675,3,2,6,F,1
5910675,4,1,27,F,3
5910675,5,2,9,F,3
5910676,1,1,79,M,4
5910676,2,2,77,F,3
5910676,3,2,79,M,1
5910676,4,2,76,F,1
5910677,1,1,54,M,4
5910683,1,1,45,M,4
5910683,2,2,36,F,3
5910685,1,1,30,M,2
5910685,1,1,44,M,4
5910693,1,4,56,M,4
5910695,1,1,55,F,4
5910700,1,1,23,M,4
5910735,1,1,28,M,4
5910748,1,1,21,M,4
5910751,1,1,23,F,4
5910751,1,1,31,F,4
5910765,1,1,40,M,4
5910772,1,2,16,F,1
5910772,1,1,51,M,4
5910772,2,2,0,F,1
5910782,1,1,72,F,4
5910789,1,1,51,M,4
5910789,1,1,41,M,3
5910789,2,2,38,F,3
5910789,2,2,44,F,3
5910791,1,3,66,M,4
5910791,1,2,17,F,1
5910791,2,2,9,F,1
5910791,3,2,1,F,1
5910791,4,2,21,F,1
5910800,1,1,55,M,4
5910800,1,2,22,M,1
5910829,1,1,48,M,4
5910830,1,3,64,M,4
5910830,1,2,52,F,1
5910830,2,2,17,M,1
5910834,1,1,27,F,2
5910834,2,2,26,M,4
5910845,1,1,50,M,4
5910852,1,2,20,F,4
5910852,2,2,7,M,2
5910852,3,2,0,M,1
5910852,4,2,35,M,1
5910852,5,2,21,F,2
5910852,6,2,4,M,2
5910853,1,2,21,M,4
5910853,2,2,10,F,2
5910853,3,2,39,F,1
5910853,4,2,8,M,1
5910853,5,2,29,M,2
5910853,6,2,37,F,2
5910853,7,2,50,F,3
5910853,8,2,20,M,3
5910853,9,1,44,M,2
5910853,10,2,33,M,4
5910856,1,1,57,F,4
5910856,1,1,41,M,2
5910856,2,2,34,M,3
5910856,3,2,6,M,1
5910856,4,2,43,M,1
5910856,5,2,38,F,1
5910866,1,1,43,M,4
5910867,1,1,30,M,4
5910867,1,1,53,M,1
5910881,1,2,51,M,4
5910881,2,1,53,F,3
5910882,1,1,32,F,4
5910887,1,3,55,M,4
5910892,1,1,58,M,4
5910914,1,4,17,M,4
5910919,1,1,26,M,4
5910919,2,2,49,F,2
5910920,1,4,29,M,4
5910920,1,2,21,F,1
5910930,1,1,42,F,2
5910930,2,2,20,F,1
5910930,3,2,9,F,4
5910930,4,2,14,F,1
5910930,5,2,21,M,2
5910932,1,3,46,F,4
5910951,1,1,55,M,4
5910986,1,1,35,M,4
5911005,1,1,57,M,4
5911005,1,1,41,M,3
5911005,2,2,47,M,3
5911005,2,2,43,M,2
5911005,3,2,40,M,3
5911024,1,1,47,M,4
5911024,2,2,16,M,4
5911024,3,2,13,M,3
5911029,1,1,31,F,4
5911029,2,2,7,M,3
5911029,3,2,1,M,2
5911029,4,2,32,M,4
5911035,1,2,31,F,4
5911035,2,1,26,F,2
5911038,1,2,53,M,2
5911038,1,1,53,F,4
5911038,2,2,16,F,3
5911054,1,1,16,M,4
5911063,1,1,24,M,4
5911072,1,1,55,M,4
5911072,2,2,25,M,3
5911082,1,1,71,M,4
5911082,1,2,54,F,1
5911082,1,2,74,M,4
5911082,1,1,41,M,1
5911082,1,1,43,M,1
5911082,2,1,51,M,2
5911082,2,2,42,F,1
5911082,2,2,14,F,1
5911082,3,2,63,F,1
5911082,3,2,9,M,1
5911082,4,2,4,M,1
5911082,5,2,40,F,2
5911090,1,1,58,M,4
5911143,1,3,19,M,4
5911143,1,2,19,M,1
5911144,1,3,32,M,4
5911145,1,3,28,F,4
5911145,1,1,53,F,1
5911145,1,1,30,M,1
5911145,2,2,67,F,1
5911146,1,1,27,F,1
5911146,1,1,28,M,4
5911146,2,2,29,M,1
5911146,3,2,8,M,1
5911146,4,2,7,F,1
5911146,5,2,3,M,1
5911146,6,2,5,F,1
5911146,7,2,10,M,1
5911148,1,1,54,M,4
5911177,1,1,31,M,3
5911177,1,1,60,M,3
5911177,1,1,44,M,2
5911177,2,2,80,M,4
5911177,3,2,76,F,4
5911189,1,1,47,F,4
5911189,1,1,45,M,3
5911189,2,2,34,F,3
5911193,1,1,70,M,2
5911193,1,1,22,M,3
5911193,2,2,77,F,4
5911193,3,2,83,F,4
5911297,1,1,33,M,3
5911297,1,1,66,M,4
5911297,2,2,0,M,3
5911297,3,2,33,F,3
5911303,1,3,20,M,4
5911311,1,3,66,M,4
5911346,1,1,66,M,4
5911347,1,1,23,M,4
5911367,1,4,62,M,4
5911375,1,3,36,M,4
5911384,1,3,31,M,4
5911409,1,3,46,M,4
5911412,1,1,24,F,2
5911412,1,1,25,M,1
5911412,2,2,22,M,2
5911412,2,2,65,F,4
5911412,3,2,0,M,2
5911412,3,2,6,F,3
5911412,4,2,33,F,3
5911425,1,4,54,M,4
5911438,1,1,24,M,4
5911438,1,2,39,M,1
5911438,1,1,33,M,3
5911439,1,1,58,M,4
5911463,1,1,16,M,3
5911463,1,1,11,M,4
5911468,1,1,24,M,2
5911468,1,1,33,M,4
5911468,2,2,24,F,2
5911468,2,2,4,F,4
5911468,3,2,33,F,4
5911490,1,1,43,M,4
5911542,1,3,61,M,4
5911565,1,2,11,F,4
5911565,1,1,36,F,1
5911565,2,1,40,F,1
5911565,3,2,15,F,2
5911568,1,1,54,M,4
5911570,1,1,30,M,4
5911574,1,1,42,M,4
